630;Pyhäntä;Pyhäntä;810;749;1559;
631;Pyhäranta;Pyhäranta;1105;1063;2168;
635;Pälkäne;Pälkäne;3401;3376;6777;
636;Pöytyä;Pöytyä;4408;4198;8606;
678;Raahe;Brahestad;12957;12521;25478;
710;Raasepori;Raseborg;14136;14627;28763;
680;Raisio;Reso;11952;12447;24399;
681;Rantasalmi;Rantasalmi;1916;1917;3833;
683;Ranua;Ranua;2140;1978;4118;
684;Rauma;Raumo;19747;20203;39950;
686;Rautalampi;Rautalampi;1692;1709;3401;
687;Rautavaara;Rautavaara;962;808;1770;
689;Rautjärvi;Rautjärvi;1845;1805;3650;
691;Reisjärvi;Reisjärvi;1507;1415;2922;
694;Riihimäki;Riihimäki;14506;14896;29402;
697;Ristijärvi;Ristijärvi;724;690;1414;
698;Rovaniemi;Rovaniemi;29879;31402;61281;
700;Ruokolahti;Ruokolahti;2702;2730;5432;
702;Ruovesi;Ruovesi;2416;2324;4740;
704;Rusko;Rusko;2981;3039;6020;
707;Rääkkylä;Rääkkylä;1286;1165;2451;
729;Saarijärvi;Saarijärvi;5048;5073;10121;
732;Salla;Salla;2037;1789;3826;
734;Salo;Salo;26746;27613;54359;
736;Saltvik;Saltvik;917;901;1818;
790;Sastamala;Sastamala;12585;12840;25425;
738;Sauvo;Sagu;1520;1502;3022;
739;Savitaipale;Savitaipale;1840;1845;3685;
740;Savonlinna;Nyslott;17513;18565;36078;
742;Savukoski;Savukoski;597;509;1106;
743;Seinäjoki;Seinäjoki;29536;31215;60751;
746;Sievi;Sievi;2673;2514;5187;
747;Siikainen;Siikainen;842;744;1586;
748;Siikajoki;Siikajoki;2880;2660;5540;
791;Siikalatva;Siikalatva;3102;2760;5862;
749;Siilinjärvi;Siilinjärvi;10808;10799;21607;
751;Simo;Simo;1698;1614;3312;
753;Sipoo;Sibbo;9523;9513;19036;
755;Siuntio;Sjundeå;3165;3058;6223;
758;Sodankylä;Sodankylä;4612;4230;8842;
759;Soini;Soini;1160;1127;2287;
761;Somero;Somero;4572;4613;9185;
762;Sonkajärvi;Sonkajärvi;2273;2088;4361;
765;Sotkamo;Sotkamo;5286;5346;10632;
766;Sottunga;Sottunga;52;47;99;
768;Sulkava;Sulkava;1398;1407;2805;
771;Sund;Sund;531;515;1046;
777;Suomussalmi;Suomussalmi;4374;4163;8537;
778;Suonenjoki;Suonenjoki;3719;3755;7474;
781;Sysmä;Sysmä;2032;2111;4143;
783;Säkylä;Säkylä;2243;2315;4558;
831;Taipalsaari;Taipalsaari;2471;2362;4833;
